term,p_pos,p_neg,class
inúmeras,0.8665367754505602,0.13346322454943985,positivo
turístico,0.9527381845461366,0.04726181545386346,positivo
francês,0.9085930918281382,0.09140690817186184,positivo
descolado,0.9661724785967843,0.0338275214032157,positivo
antigos,0.92563212692117,0.07436787307882994,positivo
normais,0.87109375,0.12890625,positivo
preferido,0.9794765840220384,0.020523415977961437,positivo
quentinha,0.961829748561042,0.038170251438957886,positivo
requintado,0.9815604998476074,0.01843950015239256,positivo
moderna,0.9798687089715536,0.02013129102844639,positivo
legais,0.9496681415929203,0.05033185840707965,positivo
central,0.959228248998908,0.0407717510010921,positivo
indico,0.9252396623265132,0.0747603376734869,positivo
regular,0.7426900584795322,0.2573099415204678,positivo
imensa,0.9126984126984128,0.0873015873015873,positivo
fino,0.8652060898626067,0.13479391013739325,positivo
seguinte,0.7038374717832957,0.2961625282167043,positivo
mexicana,0.8933691756272402,0.10663082437275984,positivo
honesta,0.9239033124440466,0.07609668755595345,positivo
popular,0.9101819589624468,0.08981804103755324,positivo
confortáveis,0.9045514803358374,0.0954485196641626,positivo
chique,0.938415159345392,0.0615848406546081,positivo
leves,0.9864371413667188,0.01356285863328117,positivo
artístico,0.7739234449760766,0.22607655502392346,positivo
exemplar,0.9848754448398576,0.015124555160142347,positivo
tipica,0.9861932938856016,0.01380670611439842,positivo
negra,0.96514304505097,0.034856954949029934,positivo
extraordinário,0.8863172226004085,0.11368277739959155,positivo
integral,0.8593212001967536,0.14067879980324646,positivo
impressionante,0.8893577121425222,0.11064228785747772,positivo
mole,0.688470066518847,0.31152993348115304,positivo
nobre,0.9267842493847416,0.07321575061525841,positivo
japoneses,0.9052247873633051,0.094775212636695,positivo
brasileiro,0.924234693877551,0.07576530612244899,positivo
paraense,0.9746172441579372,0.025382755842062853,positivo
cordiais,0.9503311258278144,0.049668874172185434,positivo
adequada,0.8501061571125266,0.14989384288747346,positivo
externas,0.9532983070636312,0.046701692936368944,positivo
histórico,0.9585578118524658,0.041442188147534184,positivo
generosos,0.9899553571428572,0.010044642857142858,positivo
feita,0.9468983661035724,0.05310163389642758,positivo
espetaculares,0.9936373276776246,0.006362672322375398,positivo
movimentado,0.9595800524934384,0.04041994750656168,positivo
caprichado,0.9810289389067524,0.018971061093247588,positivo
mega,0.9228971962616822,0.07710280373831775,positivo
obrigatório,0.9337506520605112,0.06624934793948878,positivo
ultima,0.7053990610328639,0.2946009389671361,positivo
bonitos,0.9359999999999999,0.064,positivo
concorrido,0.9867864693446088,0.013213530655391121,positivo
vegetarianas,0.963073257891602,0.036926742108397866,positivo
aprazível,0.9571909571909571,0.04280904280904281,positivo
extenso,0.9551321450522434,0.044867854947756615,positivo
hospedado,0.9278200943054044,0.07217990569459558,positivo
últimos,0.8013377926421404,0.19866220735785955,positivo
fresquinho,0.9862916568187191,0.013708343181281021,positivo
localizado,0.9723194171499784,0.02768058285002157,positivo
terceira,0.6136226642555757,0.3863773357444243,positivo
fantásticos,0.9882022471910112,0.011797752808988765,positivo
comuns,0.8603542234332425,0.1396457765667575,positivo
parecido,0.8317152103559871,0.16828478964401294,positivo
fraca,0.406,0.594,negativo
pronta,0.7893915756630265,0.21060842433697347,positivo
amigável,0.9506097560975608,0.049390243902439034,positivo
negativos,0.86,0.14,positivo
apena,0.7633344777004463,0.2366655222995537,positivo
incrivel,0.9552964042759962,0.04470359572400389,positivo
facil,0.9614310413618832,0.03856895863811677,positivo
divinas,0.9977753058954394,0.002224694104560623,positivo
geladíssima,0.9953051643192488,0.004694835680751174,positivo
otimos,0.9844922461230616,0.015507753876938469,positivo
ímpar,0.9868059373282024,0.013194062671797692,positivo
recomendável,0.9641990291262136,0.035800970873786406,positivo
sofisticados,0.9717194570135748,0.028280542986425336,positivo
picante,0.9400729546638874,0.05992704533611256,positivo
complicado,0.8531005418422637,0.1468994581577363,positivo
perfeitas,0.9922907488986784,0.007709251101321586,positivo
famosos,0.9443882709807888,0.055611729019211326,positivo
grátis,0.9298892988929888,0.07011070110701106,positivo
crocantes,0.9576837416481068,0.04231625835189309,positivo
italianos,0.9394944053046,0.06050559469539993,positivo
grossa,0.6145958986731002,0.3854041013268999,positivo
otimas,0.9884393063583816,0.011560693641618495,positivo
self-service,0.9600805098960079,0.03991949010399195,positivo
suculento,0.9647477360931436,0.0352522639068564,positivo
cortesia,0.8655072463768116,0.1344927536231884,positivo
animado,0.9554973821989527,0.04450261780104712,positivo
excepcionais,0.9799749687108886,0.02002503128911139,positivo
atraente,0.9143746756616502,0.08562532433834978,positivo
português,0.9278033794162828,0.07219662058371737,positivo
barbecue,0.9235720032180208,0.07642799678197908,positivo
tortas,0.972282777950794,0.027717222049205854,positivo
variadas,0.9883993080289001,0.01160069197110003,positivo
conhecido,0.9043509528946422,0.09564904710535778,positivo
vermelha,0.9364265001115324,0.06357349988846754,positivo
nordestino,0.9780758318287336,0.021924168171266443,positivo
novas,0.9261016949152544,0.07389830508474576,positivo
sexta,0.8895617705351244,0.11043822946487558,positivo
final,0.8038562800061948,0.1961437199938052,positivo
beneficio,0.9619030898876404,0.03809691011235955,positivo
positivos,0.7589063794531897,0.2410936205468103,positivo
solícito,0.965781969730204,0.034218030269796015,positivo
extra,0.8562053657595059,0.1437946342404941,positivo
apertado,0.8334380892520428,0.16656191074795726,positivo
sofisticada,0.9774164408310748,0.022583559168925026,positivo
lamentável,0.10005130836326323,0.8999486916367367,negativo
charmosa,0.9910071942446044,0.008992805755395683,positivo
aberto,0.8971018022406235,0.10289819775937653,positivo
quarta,0.8923669636407416,0.10763303635925836,positivo
vasta,0.9822447685478756,0.01775523145212429,positivo
gastronômico,0.939377085650723,0.060622914349276975,positivo
dificil,0.8585279858968708,0.14147201410312912,positivo
idem,0.883406113537118,0.1165938864628821,positivo
vazia,0.4550898203592814,0.5449101796407185,negativo
eficientes,0.9542961608775136,0.04570383912248629,positivo
badalado,0.9356694560669456,0.06433054393305439,positivo
francesa,0.9529958677685949,0.04700413223140496,positivo
pertinho,0.9738247863247864,0.026175213675213683,positivo
anterior,0.6040100250626567,0.39598997493734334,positivo
contemporânea,0.9815043156596794,0.018495684340320596,positivo
criativa,0.9865107913669064,0.013489208633093523,positivo
favorito,0.9754062362758016,0.024593763724198508,positivo
clássico,0.956636583755228,0.043363416244772184,positivo
norte,0.9364591339994875,0.06354086600051242,positivo
vasto,0.9758713136729222,0.024128686327077747,positivo
árabes,0.965229485396384,0.03477051460361613,positivo
nacionais,0.977927927927928,0.022072072072072072,positivo
proximo,0.9020807833537332,0.09791921664626684,positivo
triste,0.3481246698362388,0.6518753301637612,negativo
vivo,0.9719557453959806,0.028044254604019325,positivo
simpáticas,0.9533333333333334,0.04666666666666667,positivo
negro,0.9168502202643172,0.08314977973568281,positivo
menores,0.8349582172701949,0.16504178272980502,positivo
exelente,0.9928909952606636,0.007109004739336493,positivo
belíssima,0.9761006289308176,0.02389937106918239,positivo
correta,0.7781475318912923,0.2218524681087077,positivo
vermelho,0.9076923076923076,0.09230769230769233,positivo
quinta,0.9495071271541026,0.050492872845897464,positivo
criativo,0.9755219582433404,0.02447804175665947,positivo
criativos,0.9814550641940084,0.018544935805991442,positivo
competente,0.9297108673978066,0.07028913260219342,positivo
acessivel,0.9888226527570791,0.011177347242921014,positivo
inferior,0.6933546837469976,0.3066453162530024,positivo
inteira,0.8040254237288136,0.19597457627118645,positivo
astral,0.9849193967758709,0.015080603224128962,positivo
atenciosas,0.9766511007338226,0.02334889926617745,positivo
rodízio,0.8689001848428836,0.13109981515711644,positivo
incomparável,0.9901960784313726,0.00980392156862745,positivo
prático,0.9724576271186439,0.02754237288135593,positivo
puro,0.6323422770123278,0.36765772298767213,positivo
convidativos,0.9778129952456418,0.02218700475435816,positivo
branca,0.8593096234309623,0.14069037656903766,positivo
visual,0.9209367846451841,0.07906321535481599,positivo
enjoativo,0.7990783410138249,0.20092165898617512,positivo
musical,0.9580152671755724,0.04198473282442748,positivo
preto,0.8587687532333161,0.14123124676668392,positivo
imperdíveis,0.998095238095238,0.0019047619047619048,positivo
deslumbrante,0.972543352601156,0.02745664739884393,positivo
direto,0.8188518231186966,0.18114817688130333,positivo
impecavel,0.9934834123222748,0.006516587677725118,positivo
unica,0.7239583333333334,0.2760416666666667,positivo
tropeiro,0.913017396520696,0.08698260347930414,positivo
bovina,0.920223932820154,0.07977606717984605,positivo
unico,0.9165109034267912,0.08348909657320873,positivo
frias,0.5012919896640827,0.4987080103359173,positivo
encantador,0.9824810606060606,0.017518939393939392,positivo
camarão,0.9225453818294932,0.0774546181705068,positivo
terrível,0.1349957007738607,0.8650042992261393,negativo
